Name;Epithet(s),;Description;References
;other name(s);;
Abholos[19];Devourer in the Mist;A grey festering blob of infinite malevolence, described as the lesser brother of Tsathoggua or spawn of Cthulhu, born from his bile and tears.;DM7[20]
Alala[21];Herald of S'glhuo;An entity of living sound native to the Gulf of S'glhuo, and manifesting as a huge monstrous being. He is served by the Denizens of S'glhuo, which are made of his same substance.;PL, VA, WP
Ammutseba;Devourer of Stars;A dark cloudy mass, with tentacles, absorbing falling stars.;LO, SK
Amon-Gorloth[22];Creator of the Nile and Universe's Equilibrium;A gigantic mysterious entity whose cult is perhaps coincident with that of Egyptian God Amun. Once dwelling in a gigantic palace known as Gz-eh near the Valley of the Kings, his dreaming force was able to shape reality. Causing life to eventually flourish within the Nile Valley, over 3,000 years ago, before the stars ceased to be right, and the advancing desert entombed his titanic body beneath the sands. Priests of his cult have built up secret subterranean mausoleums to access the Great Old One's body, and please the slumbering god by giving cattle as sacrificial victims.;XN
Aphoom-Zhah;The Cold Flame,;Appears much like Cthugha, but grey and cold.;AF, HG, LP
;Lord of the Pole;;
Arwassa;The Silent Shouter on the Hill;A humanoid-torso with tentacles instead of limbs, and a short neck ending in a toothless, featureless mouth.;AY4
Atlach-Nacha;The Spider God,;A giant spider with a human-like face.;AT, PS, SG
;Spinner in Darkness;;
Ayi'ig;The Serpent Goddess, Aeg, Aega;Daughter of both Yig and the Outer Goddess Yidhra, appearing as a gigantic octopus-like horror with serpentine eyes, and detachable tentacles, which may move independently. She dwells within the cavern of a deep canyon somewhere in Texas.;ME
Aylith[23];The Widow in the Woods, The Many-Mother;A tall, shadowy humanoid figure with yellow glowing eyes, and strange protrusions like the branches of dead trees. She is a servant of Shub-Niggurath.;TT13
Baoht Z'uqqa-Mogg;The Bringer of Pestilence;A huge, flying scorpion with an ant-like head.;MT4,[24] VG
Basatan;Master of the Crabs;Not described, possibly a humanoid crustacean or a gigantic crab.[25];MC
B'gnu-Thun;The Soul-Chilling Ice-God;Appears as a cyanotic humanoid, followed by an eerie blizzard.;CC2, SS2
Bokrug;The Great Water Lizard,;Appears as a gigantic water lizard.;DC, SC
;The Doom of Sarnath;;
Bugg-Shash[26];The Black One,;Appears as a black slimy mass covered in eyes and mouths, much like a Shoggoth.;DI, EL, KB, RS
;The Filler of Space,;;
;He Who Comes in the Dark;;
Byatis;The Berkeley Toad,;Appears as a gigantic multicolored toad with one eye, a proboscis, crab-like claws, and tentacles below the mouth.;BY, RC, SF
;Serpent-Bearded Byatis;;
Chaugnar Faugn;The Horror from the Hills,;A vampiric elephant-like humanoid, with a mouth on the end of its trunk.;FO, HF, HM, RH
;The Feeder,;;
;Caug-Narfagn;;
Coatlicue;Serpent Skirted One[27];Appears as a gigantic reptilian humanoid with two facing snakes in place of an actual head, as depicted in the Coatlicue statue. She was the former mate of Yig, revered in K'n-yan along with her consort.;FS15, RS2
Coinchenn[28];—;A marine tentacled horror made of fish, whale, and octopus-like features.;Comics[29]
